Thorlabs Beam
Version: 9.1.5787.560
Date d/MM/yyyy	29/11/2024
Time h:mm:ss AP	11:48:54 AM

Device: 	BC106N-VIS
S/N: 	M00452329

Device	BC106N-VIS
Serial Number	M00452329

Attenuation	[dB]	0
Exposure Time	[ms]	2.509
Gain		1

Wavelength	[nm]	635

Measurement	Time [hh:mm:ss:zzz]	BeamWidth4SigmaX2[µm]	BeamWidth4SigmaY2[µm]	AzimuthAngle4Sigma[°]	Ellipticity4Sigma[%]	PeakPositionX[µm]	PeakPositionY[µm]	CentroidPositionX[µm]	CentroidPositionY[µm]	ImageSat[%]	TotalPower[dBm]	Ellipticity[%]	EllipseDiameterMin[µm]	EllipseDiameterMax[µm]	Orientation[deg]	
358	11:54:51.572	1408.85	1684.57	21.07	83.63	-2402.62	596.62	-2375.13	489.80	83.35	-44.31	44.74	639.97	1430.40	55.32	
359	11:54:52.578	1412.27	1685.07	20.79	83.81	-2402.62	596.62	-2375.44	489.80	83.35	-44.31	44.83	638.88	1425.12	55.45	
360	11:54:53.569	1395.08	1681.40	21.82	82.97	-2409.07	583.72	-2374.25	489.86	84.53	-44.29	45.13	644.70	1428.54	55.50	
361	11:54:54.575	1401.12	1682.77	21.47	83.26	-2402.62	596.62	-2374.79	490.32	84.53	-44.30	45.01	643.98	1430.83	55.32	
362	11:54:55.582	1416.08	1686.28	20.66	83.98	-2402.62	596.62	-2375.93	490.26	82.95	-44.32	44.94	638.69	1421.14	55.43	
363	11:54:56.577	1409.03	1684.15	21.25	83.66	-2409.07	603.07	-2375.42	490.08	83.35	-44.31	44.66	639.83	1432.60	55.34	
364	11:54:57.597	1419.48	1687.48	20.40	84.12	-2409.07	603.07	-2375.52	489.43	81.36	-44.33	44.69	641.30	1435.08	55.26	
365	11:54:58.589	1409.20	1685.20	20.98	83.62	-2415.52	596.62	-2375.17	489.78	82.95	-44.32	44.84	639.56	1426.29	55.36	
366	11:54:59.596	1408.29	1684.78	21.09	83.59	-2402.62	596.62	-2375.51	490.05	84.14	-44.32	44.89	640.60	1427.16	55.37	
367	11:55:00.585	1415.39	1685.75	20.62	83.96	-2402.62	596.62	-2375.72	490.63	82.95	-44.32	44.84	637.89	1422.50	55.31	
368	11:55:01.593	1423.29	1687.87	20.24	84.32	-2415.52	596.62	-2375.80	489.64	82.16	-44.33	44.64	641.12	1436.04	55.22	
369	11:55:02.584	1409.57	1685.04	21.05	83.65	-2402.62	596.62	-2375.67	490.30	83.74	-44.31	44.71	639.57	1430.56	55.30	
370	11:55:03.594	1409.36	1683.93	20.97	83.69	-2396.17	583.72	-2375.60	490.39	84.53	-44.31	44.75	639.20	1428.33	55.33	
371	11:55:04.588	1408.51	1684.21	21.06	83.63	-2396.17	583.72	-2375.69	490.21	83.74	-44.32	44.91	640.36	1425.92	55.46	
372	11:55:05.590	1397.94	1681.02	21.71	83.16	-2402.62	596.62	-2374.70	490.80	84.14	-44.30	44.71	642.84	1437.87	55.46	
373	11:55:06.612	1412.44	1685.04	20.94	83.82	-2402.62	596.62	-2375.69	490.48	83.74	-44.32	44.69	637.50	1426.43	55.45	
374	11:55:07.620	1422.96	1688.06	20.21	84.30	-2402.62	596.62	-2376.68	490.09	82.16	-44.33	44.64	640.31	1434.35	55.26	
375	11:55:08.627	1411.98	1686.14	20.81	83.74	-2409.07	583.72	-2375.28	490.73	82.95	-44.31	44.67	638.06	1428.40	55.36	
376	11:55:09.615	1398.11	1682.02	21.75	83.12	-2402.62	590.17	-2374.18	490.36	84.53	-44.30	44.83	644.16	1436.93	55.44	
377	11:55:10.623	1430.34	1689.50	19.84	84.66	-2402.62	590.17	-2376.92	490.19	81.76	-44.34	44.29	637.80	1440.06	55.16	
378	11:55:11.615	1417.48	1687.13	20.54	84.02	-2402.62	596.62	-2375.94	490.39	83.35	-44.32	44.85	637.45	1421.28	55.16	
379	11:55:12.617	1391.80	1679.97	21.99	82.85	-2402.62	596.62	-2374.48	490.14	84.53	-44.29	45.02	645.49	1433.71	55.56	
380	11:55:13.621	1419.13	1685.84	20.37	84.18	-2402.62	596.62	-2375.70	490.83	82.95	-44.33	44.76	637.24	1423.77	55.17	
381	11:55:14.616	1429.31	1688.80	19.67	84.63	-2402.62	596.62	-2376.11	490.37	82.55	-44.34	44.70	638.26	1428.01	55.03	
382	11:55:15.621	1411.32	1684.04	20.92	83.81	-2415.52	596.62	-2374.58	490.62	82.55	-44.31	44.87	645.57	1438.89	55.40	
383	11:55:16.622	1436.16	1690.71	19.33	84.94	-2402.62	596.62	-2377.15	490.07	81.76	-44.35	44.57	636.56	1428.32	55.07	
384	11:55:17.628	1420.45	1687.90	20.39	84.15	-2415.52	596.62	-2375.30	490.64	82.16	-44.32	44.53	640.57	1438.51	55.24	
385	11:55:18.621	1435.40	1689.46	19.38	84.96	-2409.07	603.07	-2376.83	490.55	81.36	-44.35	44.54	637.17	1430.57	55.01	
386	11:55:19.614	1433.17	1689.30	19.49	84.84	-2415.52	596.62	-2376.69	490.56	81.36	-44.34	44.80	637.51	1423.14	55.09	
387	11:55:20.620	1433.60	1690.03	19.55	84.83	-2409.07	603.07	-2375.59	490.17	80.97	-44.34	44.83	637.75	1422.74	54.98	
388	11:55:21.612	1437.74	1690.11	19.18	85.07	-2415.52	596.62	-2376.42	490.10	81.36	-44.35	44.89	637.10	1419.28	54.97	
389	11:55:22.633	1420.02	1686.18	20.39	84.22	-2415.52	596.62	-2376.38	490.31	82.95	-44.33	44.92	637.87	1419.94	55.22	
390	11:55:23.643	1396.66	1681.31	21.66	83.07	-2396.17	583.72	-2374.51	490.67	86.12	-44.30	45.16	640.05	1417.35	55.50	
391	11:55:24.648	1519.32	1706.14	11.67	89.05	-2454.22	635.32	-2377.18	482.92	75.02	-44.44	45.73	625.06	1366.92	54.53	
392	11:55:25.648	1466.54	1696.35	17.16	86.45	-2415.52	596.62	-2376.22	488.86	78.59	-44.38	44.80	634.77	1416.76	54.69	
393	11:55:26.655	1431.70	1689.35	19.58	84.75	-2396.17	583.72	-2376.40	490.48	81.76	-44.34	44.67	637.91	1428.04	55.02	
394	11:55:27.650	1453.02	1693.91	18.20	85.78	-2402.62	596.62	-2376.93	490.10	80.97	-44.36	44.51	631.86	1419.70	54.85	
395	11:55:28.656	1433.88	1690.13	19.45	84.84	-2402.62	590.17	-2375.17	491.02	81.36	-44.34	44.69	637.72	1426.87	55.14	
396	11:55:29.651	1431.20	1688.67	19.65	84.75	-2402.62	596.62	-2375.45	490.15	81.36	-44.34	44.80	638.83	1425.99	55.12	
397	11:55:30.656	1420.29	1686.34	20.28	84.22	-2402.62	596.62	-2375.44	490.59	82.95	-44.33	44.87	636.69	1419.04	55.15	
398	11:55:31.657	1403.68	1682.21	21.25	83.44	-2402.62	577.27	-2373.96	490.32	83.35	-44.30	44.92	642.52	1430.28	55.50	
399	11:55:32.648	1436.26	1690.13	19.37	84.98	-2402.62	596.62	-2376.13	490.36	80.97	-44.34	44.77	636.86	1422.45	54.96	
400	11:55:33.642	1440.17	1690.22	19.00	85.21	-2396.17	583.72	-2376.19	490.25	80.97	-44.35	44.85	635.94	1417.88	54.91	
401	11:55:34.647	1423.26	1686.31	20.13	84.40	-2402.62	596.62	-2375.67	490.76	82.55	-44.33	44.64	639.82	1433.39	55.10	
402	11:55:35.653	1437.33	1689.98	19.04	85.05	-2402.62	596.62	-2375.69	490.87	81.36	-44.35	44.95	636.78	1416.78	54.97	
403	11:55:36.644	1454.50	1692.71	17.97	85.93	-2409.07	603.07	-2376.88	490.51	78.98	-44.37	44.42	636.60	1433.21	54.77	
404	11:55:37.676	1439.93	1689.69	19.09	85.22	-2409.07	603.07	-2377.05	490.46	80.97	-44.35	44.60	635.53	1425.04	54.90	
405	11:55:38.656	1417.60	1685.86	20.43	84.09	-2402.62	596.62	-2375.91	490.72	82.95	-44.32	44.77	636.57	1421.85	55.38	
406	11:55:39.650	1433.49	1689.28	19.49	84.86	-2402.62	596.62	-2376.20	490.30	80.97	-44.34	44.84	638.50	1423.93	54.99	
407	11:55:40.642	1375.98	1675.48	22.92	82.12	-2402.62	590.17	-2371.63	491.19	84.93	-44.26	45.14	650.90	1441.90	55.52	
408	11:55:41.650	1426.17	1686.75	19.89	84.55	-2402.62	596.62	-2376.05	490.24	82.16	-44.34	44.65	639.81	1432.96	55.18	
409	11:55:42.644	1401.94	1681.70	21.37	83.36	-2402.62	590.17	-2374.65	491.00	84.53	-44.30	44.86	643.08	1433.40	55.34	
410	11:55:43.659	1396.00	1680.46	21.78	83.07	-2409.07	583.72	-2374.06	490.50	84.93	-44.29	45.12	644.35	1427.99	55.46	
411	11:55:44.652	1412.20	1684.57	20.78	83.83	-2402.62	596.62	-2375.47	490.67	83.35	-44.31	44.99	639.73	1421.91	55.25	
412	11:55:45.645	1375.58	1675.79	22.84	82.09	-2331.67	635.32	-2371.87	490.47	86.12	-44.26	45.19	645.66	1428.72	55.62	
413	11:55:46.674	1431.65	1689.08	19.74	84.76	-2402.62	596.62	-2375.56	491.61	81.76	-44.33	44.77	639.04	1427.39	54.96	
414	11:55:47.649	1459.22	1694.52	17.75	86.11	-2402.62	596.62	-2376.45	489.99	78.98	-44.37	44.54	635.01	1425.79	54.75	
415	11:55:48.644	1375.22	1675.40	22.99	82.08	-2402.62	596.62	-2371.19	489.93	84.93	-44.26	45.05	650.19	1443.14	55.57	
416	11:55:49.649	1387.10	1678.54	22.15	82.64	-2402.62	596.62	-2372.19	490.72	84.53	-44.28	44.91	646.43	1439.35	55.54	
417	11:55:50.645	1396.27	1680.59	21.81	83.08	-2396.17	590.17	-2372.91	490.46	84.14	-44.29	45.05	645.86	1433.59	55.41	
418	11:55:51.649	1385.13	1676.94	22.23	82.60	-2402.62	590.17	-2372.49	490.29	84.53	-44.27	45.10	647.94	1436.79	55.58	
419	11:55:52.672	1437.65	1690.02	19.13	85.07	-2409.07	603.07	-2375.50	490.23	80.97	-44.35	44.74	636.70	1423.24	54.96	
420	11:55:53.647	1419.77	1686.42	20.35	84.19	-2409.07	583.72	-2374.66	490.73	82.95	-44.32	44.69	636.43	1424.03	55.25	
421	11:55:54.641	1435.69	1688.72	19.28	85.02	-2402.62	596.62	-2375.56	490.19	82.55	-44.34	44.79	637.65	1423.54	55.05	
422	11:55:55.646	1451.97	1692.24	18.18	85.80	-2409.07	603.07	-2376.37	491.37	79.38	-44.36	44.84	637.39	1421.41	54.80	
423	11:55:56.651	1417.49	1685.52	20.47	84.10	-2402.62	596.62	-2374.15	491.13	82.95	-44.32	44.83	638.17	1423.62	55.44	
424	11:55:57.640	1426.05	1687.60	19.98	84.50	-2402.62	596.62	-2374.76	490.11	82.55	-44.33	44.74	641.29	1433.32	55.17	
425	11:55:58.664	1433.94	1688.45	19.39	84.93	-2415.52	596.62	-2374.86	490.45	81.36	-44.34	44.78	637.66	1423.97	55.14	
426	11:55:59.654	1436.02	1689.73	19.29	84.99	-2409.07	603.07	-2375.00	490.84	80.97	-44.34	44.81	637.62	1422.85	55.03	
427	11:56:00.648	1410.03	1684.28	20.93	83.72	-2402.62	596.62	-2373.91	490.95	83.74	-44.31	44.72	640.26	1431.58	55.31	
428	11:56:01.666	1531.05	1708.93	9.31	89.59	-2454.22	635.32	-2377.17	483.74	73.83	-44.45	45.81	625.25	1364.77	54.44	
429	11:56:02.644	1450.63	1693.25	18.26	85.67	-2415.52	596.62	-2373.04	488.61	79.78	-44.36	44.60	639.34	1433.46	54.76	
430	11:56:03.650	1458.21	1694.24	17.59	86.07	-2434.87	615.97	-2374.45	489.98	78.19	-44.37	44.79	637.64	1423.61	54.59	
431	11:56:04.662	1409.35	1683.40	21.02	83.72	-2409.07	603.07	-2373.60	490.54	83.35	-44.31	44.94	641.36	1427.09	55.36	
432	11:56:05.647	1437.27	1690.00	19.28	85.05	-2402.62	590.17	-2375.07	490.28	81.36	-44.34	44.81	637.38	1422.34	54.96	
433	11:56:06.643	1438.96	1691.01	19.11	85.09	-2409.07	583.72	-2373.85	490.31	81.76	-44.35	44.70	637.11	1425.28	55.06	
434	11:56:07.662	1421.81	1686.15	20.25	84.32	-2396.17	583.72	-2373.76	490.30	83.35	-44.32	44.75	637.36	1424.13	55.26	
435	11:56:08.655	1440.27	1690.92	18.84	85.18	-2402.62	596.62	-2374.55	490.49	81.36	-44.34	44.82	636.39	1419.82	54.94	
436	11:56:09.643	1429.80	1688.42	19.71	84.68	-2409.07	603.07	-2373.76	491.34	81.76	-44.34	44.43	638.07	1436.07	54.97	
437	11:56:10.650	1432.83	1688.04	19.56	84.88	-2402.62	596.62	-2374.72	490.28	81.36	-44.34	44.65	637.11	1426.78	54.96	
438	11:56:11.643	1413.80	1685.10	20.75	83.90	-2409.07	583.72	-2372.50	490.69	82.55	-44.31	44.67	643.99	1441.65	55.30	
439	11:56:12.652	1483.10	1699.15	15.39	87.28	-2454.22	635.32	-2375.12	488.09	77.40	-44.40	45.18	629.81	1393.84	54.34	
440	11:56:13.658	1645.38	1789.53	-33.40	91.94	-2086.57	222.52	-2335.95	443.84	50.04	-44.50	--	--	--	0.00	
441	11:56:14.647	1450.43	1692.37	18.14	85.70	-2402.62	596.62	-2372.83	490.19	80.97	-44.36	44.86	633.85	1412.91	54.87	
442	11:56:15.650	1538.43	1714.64	8.51	89.72	-2454.22	635.32	-2367.86	486.74	73.04	-44.46	46.63	623.78	1337.80	54.27	
443	11:56:16.643	1548.55	1719.44	6.48	90.06	-2454.22	635.32	-2372.84	484.70	72.24	-44.46	46.89	620.37	1323.15	54.30	
444	11:56:17.651	1646.07	1782.12	-27.91	92.37	-2512.27	796.57	-2342.72	452.13	54.00	-44.53	--	--	--	0.00	
445	11:56:18.647	1635.57	1754.57	-37.87	93.22	-1983.37	390.22	-2311.25	424.45	65.50	-44.39	96.48	704.12	729.81	69.94	
446	11:56:19.642	1439.14	1689.15	19.05	85.20	-2402.62	596.62	-2372.47	490.86	80.97	-44.35	44.87	637.68	1421.02	54.99	
447	11:56:20.653	1426.44	1687.14	19.90	84.55	-2409.07	583.72	-2372.28	490.25	82.16	-44.33	44.76	640.27	1430.52	55.14	
448	11:56:21.643	1427.26	1687.56	19.78	84.58	-2396.17	583.72	-2373.22	490.09	81.76	-44.33	44.68	640.04	1432.62	55.19	
449	11:56:22.648	1442.89	1691.76	18.87	85.29	-2415.52	596.62	-2373.82	489.67	80.57	-44.35	44.83	636.81	1420.43	54.92	
450	11:56:23.638	1433.97	1689.08	19.40	84.90	-2402.62	590.17	-2373.38	490.80	81.76	-44.34	44.59	636.91	1428.27	54.82	
451	11:56:24.645	1430.08	1687.87	19.79	84.73	-2402.62	590.17	-2373.16	491.22	81.76	-44.33	44.84	639.55	1426.25	54.90	
452	11:56:25.647	1439.49	1690.18	18.98	85.17	-2402.62	596.62	-2372.68	490.40	81.76	-44.35	44.88	637.60	1420.72	55.00	
453	11:56:26.651	1435.62	1689.05	19.22	85.00	-2402.62	590.17	-2370.78	490.56	81.36	-44.34	44.54	637.43	1431.07	54.97	
454	11:56:27.646	1456.95	1693.82	17.78	86.02	-2409.07	603.07	-2372.58	491.14	78.98	-44.36	44.79	637.49	1423.17	54.63	
455	11:56:28.638	1497.92	1704.96	13.61	87.86	-2454.22	641.77	-2372.07	488.85	75.41	-44.41	45.19	630.74	1395.83	54.33	
456	11:56:29.647	1525.38	1708.53	10.90	89.28	-2454.22	635.32	-2373.20	483.61	73.43	-44.44	45.84	629.88	1373.97	54.22	
457	11:56:30.639	1558.14	1716.96	5.61	90.75	-2454.22	635.32	-2368.45	479.47	71.45	-44.48	47.97	618.98	1290.33	54.18	
458	11:56:31.642	1502.69	1704.93	13.15	88.14	-2454.22	635.32	-2369.75	487.63	76.21	-44.42	45.64	630.47	1381.24	54.24	
459	11:56:32.648	1430.63	1687.60	19.53	84.77	-2409.07	583.72	-2371.17	489.16	82.16	-44.34	44.56	638.34	1432.46	55.04	
460	11:56:33.639	1447.00	1692.37	18.49	85.50	-2402.62	596.62	-2371.41	489.72	79.78	-44.35	44.71	640.26	1431.97	54.79	
461	11:56:34.643	1470.14	1697.72	16.82	86.59	-2402.62	590.17	-2372.49	488.63	77.79	-44.39	44.83	633.81	1413.77	54.70	
462	11:56:35.647	1462.93	1695.79	17.45	86.27	-2415.52	596.62	-2374.16	488.32	78.98	-44.38	44.65	634.89	1421.77	54.59	
463	11:56:36.641	1454.59	1694.15	18.20	85.86	-2415.52	596.62	-2373.73	488.67	80.57	-44.36	44.87	632.83	1410.48	54.80	
464	11:56:37.646	1426.14	1687.81	19.93	84.50	-2415.52	596.62	-2372.05	489.85	82.16	-44.33	44.60	640.39	1435.96	55.16	
465	11:56:38.650	1438.36	1690.79	19.23	85.07	-2402.62	596.62	-2373.76	489.00	80.97	-44.35	44.79	637.35	1422.93	55.07	
466	11:56:39.641	1427.63	1689.41	20.03	84.51	-2402.62	596.62	-2373.83	489.58	82.16	-44.33	44.63	640.05	1434.18	54.95	
467	11:56:40.644	1418.87	1686.35	20.53	84.14	-2409.07	583.72	-2374.78	489.79	82.95	-44.33	44.67	637.61	1427.38	55.24	
468	11:56:41.638	1376.76	1677.78	22.91	82.06	-2331.67	635.32	-2371.18	490.05	85.72	-44.26	45.19	644.97	1427.37	55.42	
469	11:56:42.648	1387.48	1679.61	22.30	82.61	-2402.62	596.62	-2372.71	489.81	84.53	-44.28	45.13	648.10	1436.20	55.44	
470	11:56:43.639	1390.66	1679.76	22.03	82.79	-2396.17	583.72	-2373.39	489.87	84.93	-44.29	45.15	646.53	1432.03	55.43	
471	11:56:44.650	1405.67	1683.83	21.25	83.48	-2396.17	583.72	-2375.11	489.86	83.74	-44.31	44.87	641.96	1430.84	55.36	
472	11:56:45.657	1368.17	1673.95	23.26	81.73	-2331.67	635.32	-2370.86	488.99	87.71	-44.25	45.25	646.42	1428.62	55.60	
473	11:56:46.648	1418.94	1686.32	20.43	84.14	-2402.62	596.62	-2376.17	490.08	84.14	-44.33	44.81	637.62	1422.93	55.16	
474	11:56:47.642	1398.23	1681.91	21.67	83.13	-2409.07	583.72	-2374.94	490.13	84.93	-44.30	44.93	643.60	1432.45	55.41	
475	11:56:48.645	1354.69	1669.10	23.83	81.16	-2331.67	635.32	-2369.35	487.38	87.31	-44.23	45.37	650.50	1433.77	55.81	
476	11:56:49.638	1375.43	1675.98	22.84	82.07	-2409.07	583.72	-2372.31	489.47	84.93	-44.26	45.04	649.40	1441.70	55.44	
477	11:56:50.642	1427.03	1687.45	20.13	84.57	-2409.07	603.07	-2376.62	490.57	81.36	-44.34	44.65	639.83	1432.90	54.99	
478	11:56:51.648	1365.85	1673.12	23.39	81.63	-2331.67	635.32	-2369.64	489.68	85.72	-44.25	45.16	646.40	1431.41	55.60	
479	11:56:52.640	1444.31	1692.63	18.90	85.33	-2409.07	603.07	-2377.59	487.79	80.57	-44.35	44.61	634.69	1422.88	54.67	
480	11:56:53.642	1412.43	1684.94	20.90	83.83	-2402.62	596.62	-2375.42	490.17	82.95	-44.32	44.79	639.83	1428.57	55.21	
481	11:56:54.644	1455.71	1693.28	18.14	85.97	-2402.62	596.62	-2377.82	489.76	79.38	-44.37	44.66	637.66	1427.91	54.72	
482	11:56:55.638	1446.91	1692.74	18.64	85.48	-2402.62	596.62	-2377.44	489.17	80.97	-44.36	44.67	635.04	1421.54	54.71	
483	11:56:56.646	1354.68	1670.26	24.11	81.11	-2331.67	635.32	-2368.97	488.41	88.10	-44.22	45.37	651.10	1435.13	55.60	
484	11:56:57.636	1408.94	1683.40	21.16	83.70	-2396.17	583.72	-2375.26	490.19	83.35	-44.32	44.81	640.92	1430.47	55.23	
485	11:56:58.647	1401.00	1683.01	21.57	83.24	-2409.07	583.72	-2374.36	490.02	83.74	-44.30	45.12	644.20	1427.80	55.28	
486	11:56:59.638	1427.70	1688.75	20.03	84.54	-2402.62	596.62	-2376.21	490.09	81.36	-44.34	44.71	639.45	1430.29	54.94	
487	11:57:00.645	1435.19	1690.11	19.45	84.92	-2402.62	596.62	-2376.61	489.55	80.97	-44.35	44.97	637.91	1418.39	54.93	
488	11:57:01.636	1434.26	1690.54	19.52	84.84	-2402.62	596.62	-2376.14	490.06	80.97	-44.35	44.91	638.23	1421.15	54.89	
489	11:57:02.661	1419.47	1686.74	20.50	84.15	-2409.07	583.72	-2376.27	490.16	83.35	-44.33	44.85	637.16	1420.63	55.07	
490	11:57:03.636	1421.85	1687.44	20.30	84.26	-2402.62	596.62	-2376.04	490.60	82.95	-44.33	44.95	636.73	1416.66	55.04	
491	11:57:04.645	1407.89	1684.52	21.26	83.58	-2415.52	596.62	-2375.52	491.17	82.95	-44.32	45.02	641.32	1424.45	55.42	
492	11:57:05.659	1460.30	1695.47	17.81	86.13	-2402.62	596.62	-2376.81	489.32	80.17	-44.38	45.06	630.72	1399.77	54.66	
493	11:57:06.639	1451.80	1694.13	18.44	85.70	-2415.52	596.62	-2377.02	490.05	80.97	-44.37	44.62	633.48	1419.87	54.56	
494	11:57:07.645	1435.03	1689.42	19.49	84.94	-2402.62	596.62	-2376.89	490.28	81.36	-44.35	44.62	637.78	1429.40	54.88	
495	11:57:08.649	1434.84	1690.52	19.42	84.88	-2415.52	596.62	-2376.32	490.17	80.97	-44.35	44.69	637.33	1426.16	54.93	
496	11:57:09.641	1420.74	1687.34	20.47	84.20	-2409.07	603.07	-2375.71	490.20	82.55	-44.33	44.68	641.76	1436.43	55.09	
497	11:57:10.638	1401.32	1682.45	21.54	83.29	-2402.62	596.62	-2372.64	490.76	83.74	-44.30	45.03	643.82	1429.76	55.31	
498	11:57:11.640	1422.72	1687.01	20.33	84.33	-2415.52	596.62	-2376.38	490.69	82.16	-44.33	44.57	640.53	1437.12	55.11	
499	11:57:12.636	1440.04	1691.28	19.06	85.15	-2402.62	596.62	-2375.90	490.34	80.97	-44.35	44.93	636.40	1416.58	54.73	
500	11:57:13.646	1418.49	1686.79	20.60	84.09	-2409.07	583.72	-2375.49	490.45	82.55	-44.33	44.53	641.73	1441.13	55.17	
501	11:57:14.641	1442.40	1691.24	19.01	85.29	-2402.62	596.62	-2376.89	489.92	80.57	-44.36	44.47	634.07	1425.92	54.69	
502	11:57:15.641	1429.14	1689.45	19.87	84.59	-2415.52	596.62	-2376.05	490.13	82.55	-44.34	44.50	638.14	1434.06	54.88	
503	11:57:16.636	1432.52	1689.67	19.74	84.78	-2402.62	596.62	-2376.87	490.10	81.76	-44.34	44.60	638.04	1430.55	54.79	
504	11:57:17.640	1433.97	1689.30	19.57	84.89	-2415.52	596.62	-2376.62	490.16	81.76	-44.35	44.97	638.19	1419.12	54.96	
505	11:57:18.632	1426.65	1688.32	20.04	84.50	-2402.62	596.62	-2376.63	490.30	82.55	-44.34	44.68	638.76	1429.55	54.91	
506	11:57:19.641	1438.07	1690.86	19.34	85.05	-2402.62	596.62	-2377.46	489.79	80.57	-44.35	44.69	637.36	1426.05	54.89	
507	11:57:20.647	1415.19	1685.10	20.76	83.98	-2402.62	596.62	-2375.27	490.04	83.35	-44.32	44.86	638.65	1423.55	55.26	
508	11:57:21.635	1430.49	1688.26	19.82	84.73	-2402.62	596.62	-2377.17	490.05	82.16	-44.34	44.57	639.30	1434.53	54.91	
509	11:57:22.643	1447.63	1693.08	18.76	85.50	-2402.62	596.62	-2378.50	489.46	80.17	-44.36	44.59	634.63	1423.33	54.71	
510	11:57:23.635	1454.68	1694.42	18.19	85.85	-2415.52	596.62	-2378.19	489.38	79.38	-44.37	44.39	637.05	1434.98	54.53	
511	11:57:24.645	1400.26	1681.98	21.60	83.25	-2402.62	596.62	-2374.82	490.10	83.74	-44.30	44.94	643.80	1432.71	55.24	
512	11:57:25.656	1422.42	1686.12	20.32	84.36	-2402.62	590.17	-2376.08	489.92	82.55	-44.33	44.68	641.39	1435.62	55.13	
513	11:57:26.640	1394.68	1680.87	21.92	82.97	-2402.62	596.62	-2374.06	490.54	84.14	-44.29	45.00	645.55	1434.67	55.24	
514	11:57:27.636	1425.62	1687.06	20.24	84.50	-2402.62	596.62	-2376.67	490.55	81.76	-44.33	44.69	640.31	1432.62	55.07	
515	11:57:28.644	1448.10	1692.31	18.50	85.57	-2409.07	603.07	-2377.53	489.70	79.78	-44.36	44.67	639.69	1431.93	54.60	
516	11:57:29.636	1435.80	1690.09	19.54	84.95	-2396.17	590.17	-2376.91	490.28	80.57	-44.35	44.44	636.63	1432.46	54.75	
517	11:57:30.645	1414.05	1684.75	20.70	83.93	-2402.62	596.62	-2375.87	490.65	82.95	-44.32	44.69	638.73	1429.23	55.17	
518	11:57:31.637	1428.92	1688.50	19.88	84.63	-2415.52	596.62	-2376.45	490.58	80.97	-44.34	44.76	639.35	1428.27	54.88	
519	11:57:32.640	1423.52	1687.08	20.20	84.38	-2402.62	596.62	-2376.27	491.06	82.55	-44.33	44.64	640.59	1435.02	54.98	
520	11:57:33.638	1400.70	1681.19	21.56	83.32	-2402.62	596.62	-2375.13	491.51	83.74	-44.30	45.20	644.30	1425.48	55.55	
521	11:57:34.644	1370.70	1674.16	23.32	81.87	-2396.17	545.02	-2371.09	489.42	86.12	-44.25	45.19	646.78	1431.16	55.32	
522	11:57:35.632	1419.77	1686.24	20.55	84.20	-2402.62	596.62	-2376.15	490.40	84.14	-44.32	44.65	637.06	1426.82	54.88	
523	11:57:36.638	1451.91	1694.14	18.42	85.70	-2409.07	603.07	-2377.43	489.72	79.78	-44.37	44.50	638.37	1434.59	54.56	
524	11:57:37.645	1444.28	1692.30	18.97	85.34	-2402.62	596.62	-2376.60	489.93	80.17	-44.36	44.80	635.28	1418.14	54.55	
525	11:57:38.638	1381.42	1677.77	22.70	82.34	-2402.62	596.62	-2372.35	490.31	86.12	-44.27	45.21	644.64	1425.86	55.41	
526	11:57:39.641	1442.75	1691.48	18.96	85.30	-2402.62	596.62	-2376.35	490.14	80.97	-44.36	44.91	636.02	1416.06	54.68	
527	11:57:40.632	1448.39	1692.36	18.65	85.58	-2415.52	596.62	-2377.08	490.00	80.17	-44.36	44.77	635.10	1418.71	54.70	
528	11:57:41.636	1433.43	1690.68	19.45	84.78	-2402.62	596.62	-2376.22	490.84	82.16	-44.35	44.86	638.29	1422.95	54.85	
529	11:57:42.643	1439.87	1690.98	19.20	85.15	-2415.52	596.62	-2376.59	491.02	80.17	-44.36	44.87	636.21	1417.98	54.69	
530	11:57:43.635	1492.44	1701.20	14.74	87.73	-2454.22	635.32	-2377.62	487.82	76.60	-44.41	44.94	632.90	1408.33	54.26	
531	11:57:44.638	1447.96	1693.14	18.51	85.52	-2409.07	603.07	-2374.96	489.98	80.17	-44.36	44.82	634.00	1414.38	54.79	
532	11:57:45.630	1449.31	1692.99	18.52	85.61	-2402.62	596.62	-2376.28	491.59	80.17	-44.37	44.90	633.80	1411.49	54.74	
533	11:57:46.652	1451.43	1692.43	18.31	85.76	-2415.52	596.62	-2377.01	490.67	79.38	-44.37	44.65	638.61	1430.11	54.49	
534	11:57:47.657	1449.49	1692.58	18.42	85.64	-2415.52	596.62	-2376.94	490.90	80.57	-44.37	44.65	633.97	1419.85	54.68	
535	11:57:48.653	1448.25	1693.31	18.44	85.53	-2402.62	596.62	-2375.51	490.93	80.57	-44.36	45.02	634.99	1410.51	54.71	
536	11:57:49.650	1454.12	1694.38	18.16	85.82	-2402.62	596.62	-2375.78	490.41	78.98	-44.37	44.73	637.38	1424.85	54.50	
537	11:57:50.658	1442.62	1692.41	18.89	85.24	-2409.07	603.07	-2375.55	490.14	80.17	-44.36	44.77	634.91	1418.08	54.67	
538	11:57:51.646	1446.71	1692.79	18.69	85.46	-2409.07	583.72	-2375.48	490.31	79.78	-44.36	44.70	639.50	1430.70	54.49	
